Worker_ID;Birth_Year;Gender;Start_Date_Employment;Job_Type;Year;Days_Sickness_Per_Year;Days_Holiday_Per_Year;Frequency_Sick(Days);Frequency_Holiday(Days);Job_Contract;Shift_Work
W0003;1972;Female;2005-09-07;Pflege;2018;18;27;3;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2019;26;26;0;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2020;13;26;3;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2021;26;31;4;2;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2022;9;36;0;1;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2023;6;28;2;3;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2024;12;30;3;3;Full-time;Yes
W0003;1972;Female;2005-09-07;Pflege;2025;18;30;0;3;Full-time;Yes
W0004;1985;Female;2022-07-10;Produktion;2022;10;28;3;1;Full-time;No
W0004;1985;Female;2022-07-10;Produktion;2023;22;26;3;1;Full-time;No
W0004;1985;Female;2022-07-10;Produktion;2024;10;29;0;1;Full-time;No
W0004;1985;Female;2022-07-10;Produktion;2025;18;33;2;2;Full-time;No
W0005;1990;Male;2015-01-08;IT;2015;5;20;0;3;Full-time;No
W0005;1990;Male;2015-01-08;IT;2016;21;27;2;1;Full-time;No
W0005;1990;Male;2015-01-08;IT;2017;0;30;0;2;Full-time;No
W0005;1990;Male;2015-01-08;IT;2018;4;32;2;1;Full-time;No
W0005;1990;Male;2015-01-08;IT;2019;5;29;2;3;Full-time;No
W0005;1990;Male;2015-01-08;IT;2020;0;22;5;2;Full-time;No
W0005;1990;Male;2015-01-08;IT;2021;17;27;2;3;Full-time;No
W0005;1990;Male;2015-01-08;IT;2022;15;28;3;3;Full-time;No
W0005;1990;Male;2015-01-08;IT;2023;23;22;4;3;Full-time;No
W0005;1990;Male;2015-01-08;IT;2024;11;33;0;2;Full-time;No
W0005;1990;Male;2015-01-08;IT;2025;15;27;4;3;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2005;17;18;1;3;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2006;9;23;2;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2007;23;29;0;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2008;16;24;4;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2009;23;30;0;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2010;16;23;5;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2011;15;26;3;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2012;18;28;5;3;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2013;5;37;4;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2014;0;26;3;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2015;12;26;3;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2016;20;34;3;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2017;13;32;3;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2018;10;36;3;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2019;17;27;2;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2020;8;24;1;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2021;25;26;5;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2022;6;31;4;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2023;22;36;2;2;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2024;20;33;0;1;Full-time;No
W0006;1992;Male;2005-04-21;Produktion;2025;6;27;1;2;Full-time;No
W0007;1978;Female;2008-01-05;Pflege;2008;29;28;1;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2009;17;35;1;1;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2010;19;31;3;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2011;7;29;3;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2012;20;32;2;1;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2013;12;31;1;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2014;10;31;3;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2015;25;29;4;1;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2016;18;25;0;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2017;15;33;5;1;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2018;12;23;0;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2019;26;30;0;1;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2020;13;27;3;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2021;8;28;3;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2022;8;28;4;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2023;30;28;5;3;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2024;13;26;0;2;Full-time;Yes
W0007;1978;Female;2008-01-05;Pflege;2025;4;32;5;1;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2017;17;33;2;2;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2018;12;25;3;1;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2019;16;30;2;1;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2020;8;24;0;2;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2021;17;26;4;1;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2022;17;28;3;1;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2023;13;29;5;3;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2024;31;31;0;3;Full-time;Yes
W0008;1964;Female;2017-04-04;Pflege;2025;16;31;3;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2008;4;30;4;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2009;20;35;5;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2010;6;33;1;3;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2011;12;23;0;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2012;20;28;4;3;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2013;12;28;4;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2014;9;22;0;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2015;18;26;1;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2016;28;32;5;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2017;14;38;4;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2018;26;28;1;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2019;25;33;2;3;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2020;14;34;3;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2021;17;29;4;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2022;3;29;4;2;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2023;17;22;2;3;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2024;8;20;3;1;Full-time;Yes
W0009;1965;Male;2008-10-08;Pflege;2025;26;31;4;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2009;33;31;0;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2010;10;23;1;1;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2011;30;23;4;1;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2012;17;25;0;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2013;9;26;1;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2014;7;29;1;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2015;22;26;2;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2016;23;26;3;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2017;25;28;0;1;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2018;7;19;1;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2019;17;34;0;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2020;16;23;3;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2021;5;19;0;1;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2022;14;18;5;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2023;18;27;5;3;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2024;20;31;2;2;Full-time;Yes
W0010;1976;Female;2009-02-28;Pflege;2025;21;25;2;1;Full-time;Yes
W0011;1977;Female;2016-01-26;IT;2016;3;31;4;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2017;12;21;1;1;Full-time;No
W0011;1977;Female;2016-01-26;IT;2018;21;32;0;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2019;7;32;2;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2020;18;18;5;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2021;5;28;3;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2022;12;28;5;1;Full-time;No
W0011;1977;Female;2016-01-26;IT;2023;10;29;5;2;Full-time;No
W0011;1977;Female;2016-01-26;IT;2024;8;26;2;3;Full-time;No
W0011;1977;Female;2016-01-26;IT;2025;15;30;0;1;Full-time;No
W0012;1999;Female;2022-08-08;Pflege;2022;13;26;0;1;Full-time;Yes
W0012;1999;Female;2022-08-08;Pflege;2023;2;25;2;3;Full-time;Yes
W0012;1999;Female;2022-08-08;Pflege;2024;13;32;3;3;Full-time;Yes
W0012;1999;Female;2022-08-08;Pflege;2025;17;29;4;2;Full-time;Yes
W0013;1990;Female;2009-11-23;Produktion;2009;24;27;1;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2010;26;28;3;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2011;4;26;4;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2012;4;17;4;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2013;8;28;3;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2014;10;24;2;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2015;2;28;1;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2016;18;31;5;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2017;13;27;3;3;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2018;12;28;3;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2019;17;28;1;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2020;15;35;5;3;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2021;22;28;5;3;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2022;12;24;4;2;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2023;10;38;4;3;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2024;16;27;3;1;Full-time;No
W0013;1990;Female;2009-11-23;Produktion;2025;8;31;2;2;Full-time;No
W0014;1959;Female;2022-11-02;Verwaltung;2022;0;29;3;2;Full-time;No
W0014;1959;Female;2022-11-02;Verwaltung;2023;0;25;1;2;Full-time;No
W0014;1959;Female;2022-11-02;Verwaltung;2024;19;23;3;1;Full-time;No
W0014;1959;Female;2022-11-02;Verwaltung;2025;16;26;3;3;Full-time;No
W0015;1997;Female;2011-01-13;Pflege;2011;5;32;5;1;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2012;6;29;0;2;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2013;25;35;5;1;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2014;21;26;4;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2015;12;30;1;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2016;10;31;0;1;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2017;24;25;2;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2018;11;23;1;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2019;22;24;5;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2020;10;25;1;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2021;14;29;4;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2022;7;23;1;3;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2023;5;30;4;1;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2024;21;20;3;2;Full-time;Yes
W0015;1997;Female;2011-01-13;Pflege;2025;9;29;1;2;Full-time;Yes
W0016;2003;Female;2021-02-19;Vertrieb;2021;5;34;0;2;Full-time;No
W0016;2003;Female;2021-02-19;Vertrieb;2022;3;35;1;2;Full-time;No
W0016;2003;Female;2021-02-19;Vertrieb;2023;14;30;4;3;Full-time;No
W0016;2003;Female;2021-02-19;Vertrieb;2024;12;33;1;1;Full-time;No
W0016;2003;Female;2021-02-19;Vertrieb;2025;15;21;0;2;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2014;4;31;4;1;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2015;34;27;0;2;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2016;23;26;5;2;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2017;16;25;2;1;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2018;0;30;4;3;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2019;4;22;0;3;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2020;16;20;1;3;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2021;15;28;4;1;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2022;14;21;2;3;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2023;13;28;2;1;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2024;14;23;1;1;Full-time;No
W0017;1969;Female;2014-06-21;Produktion;2025;1;22;0;1;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2014;19;25;0;1;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2015;17;32;0;3;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2016;17;33;0;3;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2017;18;33;0;2;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2018;0;27;1;1;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2019;15;28;1;1;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2020;0;26;4;3;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2021;15;27;1;3;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2022;11;30;5;3;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2023;22;17;0;2;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2024;0;30;3;1;Full-time;No
W0018;2000;Male;2014-09-07;Technik;2025;13;26;1;3;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2011;13;34;4;2;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2012;10;31;2;2;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2013;8;23;2;3;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2014;7;33;4;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2015;0;30;0;2;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2016;9;25;3;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2017;0;26;1;2;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2018;0;23;3;3;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2019;10;24;5;3;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2020;11;28;3;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2021;21;34;4;2;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2022;6;25;1;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2023;16;25;5;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2024;23;25;5;1;Full-time;No
W0019;1980;Male;2011-08-17;Vertrieb;2025;14;26;5;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2008;10;20;2;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2009;16;27;2;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2010;4;24;5;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2011;11;35;5;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2012;17;23;4;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2013;11;32;5;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2014;13;31;1;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2015;15;30;2;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2016;9;26;4;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2017;14;25;3;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2018;20;27;1;2;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2019;7;30;1;2;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2020;12;33;1;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2021;13;28;0;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2022;10;28;2;2;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2023;11;26;1;3;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2024;2;26;4;1;Full-time;No
W0020;1982;Female;2008-05-02;Vertrieb;2025;7;29;3;2;Full-time;No
W0021;1961;Female;2021-12-22;IT;2021;7;35;2;3;Full-time;No
W0021;1961;Female;2021-12-22;IT;2022;0;33;4;3;Full-time;No
W0021;1961;Female;2021-12-22;IT;2023;8;32;2;3;Full-time;No
W0021;1961;Female;2021-12-22;IT;2024;7;35;5;2;Full-time;No
W0021;1961;Female;2021-12-22;IT;2025;2;27;4;1;Full-time;No
W0022;1968;Male;2006-04-22;Produktion;2006;15;28;4;3;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2007;0;25;1;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2008;6;25;0;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2009;16;34;3;3;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2010;14;29;2;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2011;9;28;4;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2012;10;22;5;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2013;25;34;3;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2014;11;22;5;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2015;19;21;2;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2016;11;23;5;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2017;31;26;2;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2018;14;29;2;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2019;11;23;5;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2020;10;28;3;1;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2021;4;28;4;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2022;3;26;1;2;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2023;19;30;1;3;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2024;14;28;4;3;Part-time;No
W0022;1968;Male;2006-04-22;Produktion;2025;13;31;0;3;Part-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2013;7;32;2;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2014;22;28;1;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2015;15;36;1;2;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2016;6;26;4;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2017;3;25;4;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2018;16;20;2;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2019;10;24;4;1;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2020;1;26;3;1;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2021;15;30;4;1;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2022;2;22;3;2;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2023;13;32;3;2;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2024;11;35;1;3;Full-time;No
W0023;1988;Male;2013-02-12;Verwaltung;2025;10;31;1;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2017;8;33;5;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2018;0;33;1;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2019;6;27;0;2;Full-time;No
W0024;1969;Female;2017-02-08;IT;2020;10;24;5;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2021;21;21;5;1;Full-time;No
W0024;1969;Female;2017-02-08;IT;2022;14;27;1;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2023;1;32;3;1;Full-time;No
W0024;1969;Female;2017-02-08;IT;2024;5;24;1;3;Full-time;No
W0024;1969;Female;2017-02-08;IT;2025;0;25;4;2;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2013;5;30;3;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2014;0;32;3;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2015;17;31;3;3;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2016;9;29;4;2;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2017;2;30;4;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2018;25;31;3;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2019;27;27;5;2;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2020;0;30;2;2;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2021;15;19;5;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2022;6;30;4;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2023;6;29;5;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2024;11;27;1;1;Full-time;No
W0025;1969;Male;2013-01-05;Produktion;2025;13;28;0;3;Full-time;No
W0026;1965;Female;2018-04-01;Logistik;2018;16;31;0;2;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2019;4;26;5;3;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2020;11;29;4;1;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2021;9;25;2;2;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2022;0;24;5;3;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2023;16;30;0;3;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2024;22;26;5;2;Part-time;No
W0026;1965;Female;2018-04-01;Logistik;2025;1;32;0;2;Part-time;No
W0027;1964;Female;2023-12-25;Logistik;2023;9;27;2;3;Full-time;No
W0027;1964;Female;2023-12-25;Logistik;2024;15;23;1;2;Full-time;No
W0027;1964;Female;2023-12-25;Logistik;2025;37;28;1;2;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2016;0;25;5;2;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2017;9;29;2;3;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2018;5;26;4;1;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2019;4;23;3;3;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2020;5;28;5;2;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2021;14;27;1;1;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2022;3;28;3;2;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2023;7;30;0;2;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2024;5;27;5;1;Full-time;No
W0028;1985;Female;2016-05-02;Vertrieb;2025;15;18;2;1;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2013;17;26;0;2;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2014;5;23;2;3;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2015;6;29;3;2;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2016;29;23;0;3;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2017;11;32;4;1;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2018;7;24;2;3;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2019;0;29;5;1;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2020;11;38;1;3;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2021;25;31;1;2;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2022;25;26;2;3;Full-time;No
W0029;1979;Male;2013-10-09;Logistik;2023;20;25;3;2;Full-time;No
